,User_ID,Model_Used,Donations ($),Time_Spent (min),Conversion_Rate (%),Recommendation_Accuracy (%),Engagement_(min/session),user_age,user_cuisine,gender,taste,likes,rating,place,occasion,dietary_preferences,budget
0,1,2,0,68,0,89.78,5.23,95,Chinese,Male,Salty,1,2,Edmonton,anniversary,vegetarian,$40+
1,2,0,0,72,0,84,8,27,Thai,Male,Spicy,3,3,Calgary,anniversary,vegetarian,$15 - $40
2,3,1,11.09,163,8.45,77.27,14.82,60,French,Female,Salty,4,1,Quebec City,casual,vegetarian,no budget
3,4,0,0,113,0,71.69,11.3,30,Greek,Male,Umami,3,2,Vancouver,tourist,vegetarian,no budget
4,5,1,5.42,171,11.42,81.65,11.4,69,French,Male,Sweet,4,5,Ottawa,birthday,kosher,$15 - $40
5,6,2,0,110,0,73.54,9.17,84,American,Female,Bitter,0,4,Calgary,casual,kosher,less than $15
6,7,1,0,127,0,80.88,18.14,91,French,Male,Spicy,0,3,Quebec City,casual,gluten free,no budget
7,8,2,0,113,0,63.21,7.53,93,American,Male,Sweet,4,3,Hamilton,lunch,kosher,$15 - $40
8,9,0,0,84,0,79.07,5.6,67,Japanese,Male,Bitter,1,4,Winnipeg,anniversary,vegan,$40+
9,10,2,0,123,0,77.07,10.25,53,Chinese,Male,Salty,0,5,Winnipeg,firstdate,gluten free,$40+
10,11,1,0,158,0,89.46,19.75,59,Chinese,Male,Salty,0,1,Montreal,dinner,kosher,less than $15
11,12,2,0,110,0,83.46,9.17,55,French,Female,Spicy,5,5,Montreal,casual,vegetarian,less than $15
12,13,1,0,152,0,82.41,11.69,71,Greek,Female,Sour,2,3,Hamilton,birthday,halal,$40+
13,14,0,3.48,100,8.87,65.43,14.29,69,Thai,Female,Sour,2,4,Quebec City,birthday,gluten free,no budget
14,15,0,0,174,0,70.03,15.82,14,Greek,Female,Bitter,4,5,Winnipeg,lunch,gluten free,no budget
15,16,1,0,156,0,66.03,31.2,31,Thai,Male,Sweet,4,5,Ottawa,casual,gluten free,$15 - $40
16,17,2,0,162,0,64.45,11.57,29,Thai,Female,Bitter,0,3,Edmonton,casual,halal,$40+
17,18,1,0,65,0,65.73,5.91,17,Spanish,Male,Spicy,1,1,Montreal,birthday,vegan,no budget
18,19,0,0,60,0,78.45,5.45,41,American,Female,Sweet,4,3,Ottawa,firstdate,halal,$15 - $40
19,20,2,0,157,0,79.26,10.47,26,Mexican,Female,Salty,4,2,Montreal,dinner,vegetarian,$40+
20,21,0,0,155,0,89.63,10.33,1,Italian,Male,Sweet,0,4,Toronto,birthday,vegan,less than $15
21,22,2,0,60,0,67.3,5,29,Italian,Female,Bitter,5,5,Winnipeg,birthday,gluten free,no budget
22,23,2,0,60,0,86.71,7.5,97,Italian,Female,Umami,4,5,Quebec City,firstdate,vegan,$15 - $40
23,24,0,0,158,0,78.58,14.36,5,American,Female,Sweet,5,4,Montreal,casual,gluten free,$15 - $40
24,25,0,0,114,0,62.02,22.8,94,French,Male,Bitter,5,5,Calgary,birthday,halal,no budget
25,26,1,0,65,0,68.47,9.29,46,Greek,Male,Sweet,0,2,Vancouver,dinner,halal,$15 - $40
26,27,0,0,145,0,71.88,24.17,65,American,Female,Spicy,2,3,Quebec City,tourist,vegan,no budget
27,28,2,0,142,0,74.41,23.67,46,American,Female,Umami,0,2,Kitchener,firstdate,halal,less than $15
28,29,0,0,86,0,67.06,7.17,91,French,Female,Sour,4,2,Calgary,dinner,gluten free,$15 - $40
29,30,2,0,121,0,81.71,10.08,45,American,Male,Salty,4,3,Kitchener,anniversary,gluten free,$40+
30,31,1,14.71,102,10.4,86.82,17,85,American,Male,Sweet,1,2,Kitchener,tourist,vegan,less than $15
31,32,1,2.97,133,8.9,74.49,22.17,52,Japanese,Female,Salty,3,4,Vancouver,firstdate,vegetarian,$40+
32,33,1,0,99,0,62.98,11,99,Thai,Female,Umami,3,5,Toronto,tourist,gluten free,$15 - $40
33,34,1,0,104,0,65.75,8.67,41,Japanese,Female,Sweet,5,2,Calgary,firstdate,halal,less than $15
34,35,2,14.19,79,9.85,82.02,11.29,71,American,Female,Bitter,4,2,Ottawa,anniversary,vegan,no budget
35,36,2,0,99,0,78.99,8.25,92,Greek,Female,Bitter,5,4,Vancouver,casual,halal,no budget
36,37,1,0,107,0,77.91,8.92,26,Italian,Female,Salty,0,3,Hamilton,dinner,kosher,less than $15
37,38,1,0,96,0,79.14,10.67,87,Italian,Female,Bitter,5,4,Vancouver,casual,vegan,$15 - $40
